Location Name,Full Address,City,Lat,Lon
"מקלט אומן מערב הישוב, אומן","אומן מערב הישוב, אומן",אומן,32.56478687150944,35.24169655895532
"מקלט אומן צפון הישוב, אומן","אומן צפון הישוב, אומן",אומן,32.56499394543527,35.24277213949143
מקלט מיקלט אופקים,"המסגר 999, אופקים",אופקים,31.31989633715576,34.622901200984586
מקלט מיקלט אופקים,"רמב""ם פינת זבוטינסקי, אופקים",אופקים,31.318203429896105,34.62149337443612
מקלט מיקלט אופקים,"שדרות יהדות דרום אפריקה 10, אופקים",אופקים,31.315339186584094,34.62231990786835
מקלט מיקלט אופקים,"שדרות יהדות דרום אפריקה 8, אופקים",אופקים,31.31533856745089,34.62218334555845
מקלט מיקלט אופקים,"שמשון 3, אופקים",אופקים,31.298582551228098,34.63042638515858
מקלט מס' 18 אופקים,"גלעד 13, אופקים",אופקים,31.300482059523148,34.63191298076822
"מקלט אסתר המלכה 7, אופקים","אסתר המלכה 7, אופקים",אופקים,31.300041344508944,34.62590108436802
"מקלט אצ""ל 22, אופקים","אצ""ל 22, אופקים",אופקים,31.31198105171857,34.62362213491567
"מקלט בצלאל פינת הרתך, אופקים","בצלאל פינת הרתך, אופקים",אופקים,31.314602152561804,34.62887956524022
"מקלט גיבורי ישראל 9, אופקים","גיבורי ישראל 9, אופקים",אופקים,31.31173971865378,34.62012555517809
"מקלט האורן מאחורי 10, אופקים","האורן מאחורי 10, אופקים",אופקים,31.30878568407695,34.615112202210355
"מקלט הדס 18, אופקים","הדס 18, אופקים",אופקים,31.313114934787766,34.61319438036435
"מקלט הזית 1, אופקים","הזית 1, אופקים",אופקים,31.311662562896373,34.61116554606748
"מקלט היוגב 19, אופקים","היוגב 19, אופקים",אופקים,31.31393213773616,34.610479006267326
"מקלט הכרמים 100, אופקים","הכרמים 100, אופקים",אופקים,31.309138262330947,34.60942713295263
"מקלט המלאכה פינת הפלדה, אופקים","המלאכה פינת הפלדה, אופקים",אופקים,31.319607647081053,34.622881963939605
"מקלט המסגר פינת נחושתן, אופקים","המסגר פינת נחושתן, אופקים",אופקים,31.32021550634378,34.62367665607542
"מקלט הרב אבוחצירא 20, אופקים","הרב אבוחצירא 20, אופקים",אופקים,31.31336470619573,34.61652286098116
"מקלט הרב אבוחצירא 71, אופקים","הרב אבוחצירא 71, אופקים",אופקים,31.31400662814777,34.61490111426865
"מקלט הרב עוזיאל ליד מבצע קדש, אופקים","הרב עוזיאל ליד מבצע קדש, אופקים",אופקים,31.316437498030158,34.61989695508105
"מקלט הרימון 3, אופקים","הרימון 3, אופקים",אופקים,31.30952443030104,34.61102137922039
"מקלט חנניה 2, אופקים","חנניה 2, אופקים",אופקים,31.30051251039447,34.624385710254394
"מקלט חנניה 21, אופקים","חנניה 21, אופקים",אופקים,31.30023501777449,34.622853911849255
"מקלט יונה 29, אופקים","יונה 29, אופקים",אופקים,31.29849243391792,34.62441908889299
"מקלט יונה 29, אופקים","יונה 29, אופקים",אופקים,31.299384518634813,34.62424557248737
"מקלט כצנלסון 15, אופקים","כצנלסון 15, אופקים",אופקים,31.314230666953907,34.62050936698346
"מקלט כרמל 14, אופקים","כרמל 14, אופקים",אופקים,31.29855224311892,34.631718466234325
"מקלט לח""י 999, אופקים","לח""י 999, אופקים",אופקים,31.31172150681725,34.62406492421873
"מקלט משה שרת 2, אופקים","משה שרת 2, אופקים",אופקים,31.30993705000927,34.62036778059249
"מקלט צדקיהו 22, אופקים","צדקיהו 22, אופקים",אופקים,31.300071235593954,34.630553906579166
"מקלט צה""ל 20, אופקים","צה""ל 20, אופקים",אופקים,31.31255287368565,34.62044618377626
"מקלט קרן יסוד 2, אופקים","קרן יסוד 2, אופקים",אופקים,31.309863197262732,34.618015233712185
"מקלט רמב""ם 19, אופקים","רמב""ם 19, אופקים",אופקים,31.316235026029172,34.622976224732525
"מקלט רמב""ם ליד הרקפת, אופקים","רמב""ם ליד הרקפת, אופקים",אופקים,31.316853167405593,34.62205846991497
"מקלט שאול המלך 24, אופקים","שאול המלך 24, אופקים",אופקים,31.30184001308125,34.63079527416105
"מקלט שדרות הרצל 56, אופקים","שדרות הרצל 56, אופקים",אופקים,31.310633822117122,34.62087820522646
"מקלט שדרות הרצל מתחם השוק העירוני, אופקים","שדרות הרצל מתחם השוק העירוני, אופקים",אופקים,31.318505336251178,34.62045147653704
מקלט  77 אופקים,"המסגר בין 53-55, אופקים",אופקים,31.32014500096598,34.62204871765358
מקלט 10 אופקים,"התירוש 3, אופקים",אופקים,31.31337696694424,34.61134388836607
מקלט 54 אופקים,"חגי 10, אופקים",אופקים,31.30178498315258,34.62257129994268
